"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-bellied plover","19","29-08-2017",-113.1888,26.7081,241,15.3350202998746,0.377505412561131,0.789460545714339,1.03303389191021,288.804268665088,27.9699800381157,316.774248703204
"Black-bellied plover","19","02-09-2017",-113.1351,26.7224,245,2.09876530961003,1.06168978846652,0.795105004132363,0.984497962619566,805.106900303741,44.8392343248893,849.94613462863
"Black-bellied plover","19","08-09-2017",-113.122,26.736,251,-6.42566192600781,-0.17493906331498,0.798740154339449,0.976660202533943,-391.714860235779,2.59435962084873,-389.12050061493
"Black-bellied plover","19","12-09-2017",-113.1549,26.677,255,-11.750229433541,0.842678736331429,0.801010758820273,0.996545066469933,684.311843629282,41.7023540803679,726.01419770965
"Black-bellied plover","19","12-09-2017",-113.148,26.6707,255,-11.750229433541,0.848978736331428,0.801010758820273,0.996545066469933,688.809140954914,41.8235905350697,730.632731489983
"Black-bellied plover","19","13-09-2017",-113.1342,26.7283,256,-23.4078662190443,1.44148008840246,0.805982032502791,0.96967137115613,929.273033986128,48.3602058364869,977.633239822615
"Black-bellied plover","19","06-11-2017",-113.1642,26.7421,310,22.8691847278037,-0.839473708188374,0.786247682418847,1.03373927928472,-984.775313524053,2857.62360402616,1872.84829050211
"Black-bellied plover","19","16-11-2017",-113.1441,26.7395,320,-22.92405380558,0.968867674938231,0.805775715908563,0.973976581813072,755.249781447033,44.1432661333615,799.393047580394
"Black-bellied plover","19","01-12-2017",-113.1285,26.7357,335,17.8480672883317,-1.03365107769379,0.788388883885573,1.03399867715375,-1113.8377441968,1096.92971693504,-16.9080272617566
"Black-bellied plover","19","03-12-2017",-113.1344,26.725,337,7.03219914699957,0.727551395333223,0.793001194393604,0.986124274219745,584.69522670805,38.846525796404,623.541752504454
"Black-bellied plover","19","05-12-2017",-113.1282,26.7281,339,-23.3405905719406,1.37400444129882,0.80595334352748,0.977550001622749,925.089267251745,48.1027913743884,973.192058626133
"Black-bellied plover","20","06-07-2017",-166.2646,64.8634,187,-12.2512720228642,-0.145652009914271,0.801224423037469,0.968107823158624,-376.898727051901,3.6601438368934,-373.238583215008
"Black-bellied plover","20","08-07-2017",-166.2561,64.8711,189,23.1918807485871,-0.732281572049292,0.786110072175443,1.00255564910028,-874.888216081797,9369.44896550419,8494.56074942239
"Black-bellied plover","20","08-07-2017",-166.2634,64.8693,189,23.1918807485871,-0.734081572049295,0.786110072175443,1.00255564910028,-876.298193375621,9109.7556833004,8233.45748992478
"Black-bellied plover","20","08-07-2017",-166.2367,64.871,189,23.1918807485871,-0.732381572049295,0.786110072175443,1.00255564910028,-874.96660463639,9354.73319788135,8479.76659324496
"Black-bellied plover","20","10-07-2017",-163.937,63.1408,191,-5.86282604795129,1.45938399577073,0.798500139039638,1.02976512626457,980.099588044592,47.960714025888,1028.06030207048
"Black-bellied plover","20","10-07-2017",-163.9669,63.1353,191,-5.86282604795129,1.45388399577073,0.798500139039638,1.02976512626457,979.400872600325,47.9463169470944,1027.34718954742
"Black-bellied plover","20","10-07-2017",-164.2293,63.0987,191,-5.86282604795129,1.41728399577073,0.798500139039638,1.02976512626457,973.89926429262,47.8326651901632,1021.73192948278
"Black-bellied plover","20","10-07-2017",-164.2422,63.0942,191,-5.86282604795129,1.41278399577073,0.798500139039638,1.02976512626457,973.120799755105,47.8165419530971,1020.9373417082
"Black-bellied plover","20","16-07-2017",-164.4455,62.9496,197,2.67894511101393,-0.990401856014903,0.794857592703192,1.03317117172926,-1096.67594347039,1279.61519454685,182.939251076466
"Black-bellied plover","20","16-07-2017",-164.4219,62.9563,197,2.67894511101393,-0.983701856014901,0.794857592703192,1.03317117172926,-1092.58631358679,1312.18586248639,219.599548899599
"Black-bellied plover","20","18-07-2017",-164.4951,62.7462,199,-22.4927388151178,-1.15485915860149,0.805591786275104,0.979411236613302,-1137.27655621731,835.615395543696,-301.661160673618
"Black-bellied plover","20","23-07-2017",-164.5648,62.7068,204,-11.3314084592256,0.210781099865477,0.800832157125469,1.02010574276535,125.52199902577,21.1360318574569,146.658030883227
"Black-bellied plover","20","25-07-2017",-164.5851,62.6928,206,-14.4749936442271,-0.198773631277117,0.802172705178775,0.966701736553297,-404.330135628376,1.86703526614713,-402.463100362229
